,FF-FF,FF-CU,FF-SL,FF-CH,FF-SI,FF-FC,CU-FF,CU-CU,CU-SL,CU-CH,CU-SI,CU-FC,SL-FF,SL-CU,SL-SL,SL-CH,SL-SI,SL-FC,CH-FF,CH-CU,CH-SL,CH-CH,CH-SI,CH-FC,SI-FF,SI-CU,SI-SL,SI-CH,SI-SI,SI-FC,FC-FF,FC-CU,FC-SL,FC-CH,FC-SI,FC-FC
"cortes, nestor",17.363083164300203,0.16227180527383367,8.47870182555781,1.9066937119675456,1.1359026369168357,14.726166328600407,0.2434077079107505,,,,,0.04056795131845842,8.275862068965518,0.12170385395537525,3.2454361054766734,0.7302231237322515,0.6490872210953347,5.598377281947261,2.150101419878296,,0.7707910750507099,0.16227180527383367,0.08113590263691683,1.2170385395537524,1.6227180527383367,,0.4056795131845842,0.12170385395537525,,0.9330628803245435,14.117647058823529,,5.720081135902637,1.460446247464503,1.2170385395537524,7.302231237322515
"crawford, kutter",11.959876543209877,8.719135802469136,2.314814814814815,2.5462962962962963,,12.962962962962962,6.095679012345679,1.7746913580246912,1.1574074074074074,1.3117283950617282,,6.558641975308642,3.3179012345679015,0.6944444444444444,0.30864197530864196,,,1.2345679012345678,3.935185185185185,0.6172839506172839,0.15432098765432098,0.38580246913580246,,2.083333333333333,,,,,,,13.117283950617283,5.092592592592593,1.6203703703703702,2.9320987654320985,,9.027777777777777
"crismatt, nabil",5.893909626719057,5.009823182711198,0.19646365422396855,10.510805500982318,1.080550098231827,,5.50098231827112,4.911591355599214,0.09823182711198428,8.349705304518663,1.2770137524557956,,0.09823182711198428,0.09823182711198428,,0.29469548133595286,,,10.805500982318271,8.644400785854616,0.09823182711198428,28.487229862475445,2.6522593320235757,,0.3929273084479371,1.4734774066797642,,3.045186640471513,0.8840864440078585,,,,,,,
"crowe, wil",3.8405797101449277,0.43478260869565216,3.985507246376811,5.797101449275362,1.956521739130435,,0.5797101449275363,0.5797101449275363,0.7971014492753623,0.7246376811594203,0.2898550724637681,,4.782608695652174,0.07246376811594203,13.333333333333334,5.797101449275362,7.3188405797101455,,5.072463768115942,1.4492753623188406,6.304347826086956,10.942028985507246,4.275362318840579,,1.7391304347826086,0.43478260869565216,6.811594202898551,4.855072463768116,7.753623188405798,,,,,,,
"cueto, johnny",4.4266441821247895,0.25295109612141653,2.740303541315346,3.962900505902192,4.1315345699831365,4.258010118043845,0.16863406408094433,,0.12647554806070826,0.042158516020236084,0.21079258010118043,0.08431703204047217,3.752107925801012,,3.836424957841484,2.6981450252951094,4.0050590219224285,2.1500843170320407,3.962900505902192,0.042158516020236084,2.951096121416526,4.173693086003373,4.63743676222597,4.3423271500843175,3.794266441821248,0.08431703204047217,4.8482293423271505,4.5531197301854975,5.944350758853288,4.0050590219224285,3.709949409780776,0.25295109612141653,1.93929173693086,4.679595278246206,4.3001686340640815,4.8903878583473865
"darvish, yu",8.280040390440929,2.288791652642208,10.097610232245035,2.255132951868058,1.7839111410299564,0.8078088185796028,1.7502524402558062,0.572197913160552,3.635139683608213,0.3702457085156513,0.3702457085156513,0.5385392123864019,10.198586334567485,2.86098956580276,25.37866038370919,2.92830696735106,3.8707505890272635,1.649276337933356,2.524402558061259,0.572197913160552,2.0531807472231574,1.3463480309660047,0.7068327162571525,0.23561090541905083,1.682935038707506,0.6058566139347021,4.274654998317065,0.23561090541905083,1.3463480309660047,0.4039044092898014,1.110737125546954,0.3365870077415012,1.413665432514305,0.30292830696735107,0.47122181083810166,0.6731740154830024
"davies, zach",1.3961605584642234,0.13089005235602094,0.04363001745200698,1.7452006980802792,1.2216404886561953,0.13089005235602094,0.30541012216404884,0.4363001745200698,0.04363001745200698,1.1780104712041886,3.446771378708551,0.5671902268760907,0.04363001745200698,0.04363001745200698,,0.17452006980802792,0.6108202443280977,,1.6143106457242582,2.356020942408377,0.2181500872600349,8.900523560209423,18.19371727748691,1.963350785340314,1.1343804537521813,2.7050610820244327,0.5671902268760907,19.19720767888307,23.82198952879581,2.094240837696335,0.17452006980802792,0.30541012216404884,,2.050610820244328,2.225130890052356,0.8726003490401396
"davis, austin",18.425760286225405,0.17889087656529518,15.92128801431127,7.0661896243291595,0.8944543828264758,,0.17889087656529518,,0.08944543828264759,,,,16.100178890876567,0.08944543828264759,14.847942754919499,5.635062611806798,1.3416815742397137,,6.797853309481217,,5.992844364937388,2.862254025044723,0.35778175313059035,,0.9838998211091234,,1.2522361359570662,0.35778175313059035,0.5366726296958855,,,,,,,
"de jong, chase",20.120898100172713,11.744386873920552,14.075993091537134,0.5181347150259068,0.17271157167530224,,12.176165803108809,5.699481865284974,4.404145077720207,0.17271157167530224,0.08635578583765112,,13.989637305699482,4.576856649395509,10.79447322970639,0.08635578583765112,,,0.2590673575129534,0.4317789291882556,0.17271157167530224,0.17271157167530224,,,0.08635578583765112,0.08635578583765112,,0.08635578583765112,,,,,,,,
"detmers, reid",18.477762494268685,9.170105456212745,10.545621274644658,5.547913801008711,0.2751031636863824,,8.986703347088492,2.7510316368638237,4.722604309949564,1.4672168729940394,0.2751031636863824,,11.508482347546996,3.3470884915176526,8.11554332874828,2.3383768913342506,0.22925263640531865,,4.860155891792756,2.8885832187070153,1.7881705639614855,1.6964695093993583,0.04585052728106373,,0.22925263640531865,0.04585052728106373,0.36680421824850984,0.18340210912425492,0.09170105456212746,,,,,,,
